dataset,model_name,problem_type,time_train_s,acc,auc,logloss,metric_error
APSFailure,TPOT_1h,binary,4177.8,0.9921184999999999,0.990257,,0.009743000000000035
APSFailure,TPOT_4h,binary,15402.820000000002,0.9932501,0.9917171999999999,,0.008282800000000012
APSFailure,autogluon_1h,binary,3616.75,0.9949342,0.9928505,,0.007149499999999998
APSFailure,autosklearn_1h,binary,3595.6299999999997,0.9935395,0.9911733,,0.008826699999999976
APSFailure,autosklearn_4h,binary,14396.439999999999,0.9939605,0.9915160000000001,,0.008484000000000014
Amazon_employee_access,TPOT_1h,binary,3655.1099999999997,0.9501052999999999,0.8695499999999999,,0.13045
Amazon_employee_access,TPOT_4h,binary,14584.85,0.9498614,0.8675284,,0.1324716
Amazon_employee_access,autogluon_1h,binary,2271.8900000000003,0.9516007999999999,0.8692011000000001,,0.13079890000000005
Amazon_employee_access,autosklearn_1h,binary,3598.1,0.9383870999999999,0.8559490000000001,,0.14405099999999996
Amazon_employee_access,autosklearn_4h,binary,14398.579999999998,0.9441834,0.8493972999999999,,0.15060269999999995
Australian,TPOT_1h,binary,3605.4199999999996,0.8579709,0.9319331999999999,,0.06806680000000002
Australian,TPOT_4h,binary,14415.7,0.8666664999999998,0.9362149000000002,,0.06378510000000001
Australian,autogluon_1h,binary,158.43,0.8710142999999999,0.9434531999999999,,0.056546799999999994
Australian,autosklearn_1h,binary,3611.69,0.8652174,0.9353520999999999,,0.06464790000000002
Australian,autosklearn_4h,binary,14436.0,0.8666665,0.9351865,,0.0648135
Fashion-MNIST,TPOT_1h,multiclass,5081.280000000001,0.7948285999999999,,0.6507631,0.6507631
Fashion-MNIST,TPOT_4h,multiclass,16575.620000000003,0.7710856999999999,,0.7001237,0.7001237
Fashion-MNIST,autogluon_1h,multiclass,3730.81,0.9008141999999999,,0.28376539999999995,0.28376539999999995
Fashion-MNIST,autosklearn_1h,multiclass,3598.1600000000008,0.8807572,,0.3537771,0.3537771
Fashion-MNIST,autosklearn_4h,multiclass,14405.079999999998,0.8819856999999999,,0.3579077,0.3579077
Jannis,TPOT_1h,multiclass,4194.35,0.7050504999999999,,0.7315695,0.7315695
Jannis,TPOT_4h,multiclass,15505.010000000004,0.7088124,,0.7208862,0.7208862
Jannis,autogluon_1h,multiclass,3620.53,0.7313484999999998,,0.6625519000000001,0.6625519000000001
Jannis,autosklearn_1h,multiclass,3598.6699999999996,0.7141506000000001,,0.7053283,0.7053283
Jannis,autosklearn_4h,multiclass,14400.470000000001,0.7222482,,0.6852199000000001,0.6852199000000001
MiniBooNE,TPOT_1h,binary,3990.7,0.9372694999999999,0.9811721,,0.01882790000000001
MiniBooNE,TPOT_4h,binary,14715.310000000001,0.9396068,0.9826022,,0.017397799999999984
MiniBooNE,autogluon_1h,binary,3623.9300000000003,0.9488636999999999,0.9869775999999998,,0.0130224
MiniBooNE,autosklearn_1h,binary,3596.8799999999997,0.9452268000000001,0.9854683999999999,,0.014531600000000033
MiniBooNE,autosklearn_4h,binary,14397.380000000001,0.9465341000000003,0.9858694000000001,,0.014130600000000004
Robert,TPOT_1h,multiclass,4139.91,0.24900000000000003,,4.041313000000001,4.041313000000001
Robert,TPOT_4h,multiclass,15325.34,0.3367,,1.9092399999999998,1.9092399999999998
Robert,autogluon_1h,multiclass,3647.84,0.4915,,1.6050650000000002,1.6050650000000002
Robert,autosklearn_1h,multiclass,3604.09,0.0991,,2.302590000000001,2.302590000000001
Robert,autosklearn_4h,multiclass,14449.220000000001,0.0991,,2.302590000000001,2.302590000000001
Volkert,TPOT_1h,multiclass,5045.129999999999,0.6560109,,1.0106068000000001,1.0106068000000001
Volkert,TPOT_4h,multiclass,15790.059999999998,0.6676898,,0.9891998000000001,0.9891998000000001
Volkert,autogluon_1h,multiclass,3630.28,0.7478479000000001,,0.7159859999999999,0.7159859999999999
Volkert,autosklearn_1h,multiclass,3597.44,0.6826617,,0.9453241,0.9453241
Volkert,autosklearn_4h,multiclass,14399.38,0.6870520000000001,,0.9245122,0.9245122
adult,TPOT_1h,binary,3679.6600000000008,0.8729780999999999,0.9274199,,0.07258010000000002
adult,TPOT_4h,binary,14480.37,0.8746161000000001,0.9291452,,0.07085480000000002
adult,autogluon_1h,binary,3358.3000000000006,0.8748001999999999,0.9314821,,0.06851789999999999
adult,autosklearn_1h,binary,3596.7299999999996,0.8708486000000001,0.9295281,,0.07047190000000002
adult,autosklearn_4h,binary,14398.23,0.8653616999999999,0.9297776000000001,,0.07022240000000005
bank-marketing,TPOT_1h,binary,3764.109999999999,0.9069474999999999,0.9336839000000001,,0.06631609999999998
bank-marketing,TPOT_4h,binary,14499.45,0.9085175999999999,0.9342622000000003,,0.06573780000000001
bank-marketing,autogluon_1h,binary,2874.01,0.9112605,0.9405081,,0.05949190000000001
bank-marketing,autosklearn_1h,binary,3597.0,0.9062173999999998,0.9373317000000002,,0.06266829999999998
bank-marketing,autosklearn_4h,binary,14398.2,0.9005993,0.9368919,,0.06310810000000003
blood-transfusion,TPOT_1h,binary,3603.9299999999994,0.7820901,0.7243721000000001,,0.27562790000000004
blood-transfusion,TPOT_4h,binary,14408.030000000002,0.770054,0.7070547999999999,,0.29294519999999996
blood-transfusion,autogluon_1h,binary,157.41000000000003,0.7793515,0.7104917000000001,,0.28950829999999994
blood-transfusion,autosklearn_1h,binary,3639.9300000000003,0.7739100000000001,0.7573759,,0.24262409999999995
blood-transfusion,autosklearn_4h,binary,14501.980000000001,0.778054,0.7634388,,0.23656119999999997
car,TPOT_1h,multiclass,3709.970000000001,1.0,,0.00035413700000000003,0.00035413700000000003
car,TPOT_4h,multiclass,14449.87,1.0,,0.0003081020000003212,0.0003081020000003212
car,autogluon_1h,multiclass,1692.36,0.9982626,,0.0037972975,0.0037972975
car,autosklearn_1h,multiclass,3613.8300000000004,0.9965284999999999,,0.009597847000000001,0.009597847000000001
car,autosklearn_4h,multiclass,14443.670000000002,0.9971063999999998,,0.009630397000000002,0.009630397000000002
christine,TPOT_1h,binary,4017.22,0.7185334,0.8134017,,0.1865983
christine,TPOT_4h,binary,14791.590000000002,0.7423311,0.8195261,,0.1804739
christine,autogluon_1h,binary,3552.4800000000005,0.7462117,0.8249658999999999,,0.17503410000000003
christine,autosklearn_1h,binary,3595.9,0.7561769,0.8297472999999999,,0.17025270000000003
christine,autosklearn_4h,binary,14397.49,0.7543327000000001,0.8314305000000001,,0.1685695
cnae-9,TPOT_1h,multiclass,3757.88,0.9481482,,0.1957619,0.1957619
cnae-9,TPOT_4h,multiclass,14652.1,0.9537036000000002,,0.18931257999999998,0.18931257999999998
cnae-9,autogluon_1h,multiclass,1331.33,0.9499999000000001,,0.16386470000000003,0.16386470000000003
cnae-9,autosklearn_1h,multiclass,3598.7600000000007,0.9462961,,0.17066133,0.17066133
cnae-9,autosklearn_4h,multiclass,14412.880000000001,0.9453702999999999,,0.1677093,0.1677093
connect-4,TPOT_1h,multiclass,3863.8,0.8435989000000002,,0.39963089999999996,0.39963089999999996
connect-4,TPOT_4h,multiclass,14731.320000000002,0.8524358,,0.3755702,0.3755702
connect-4,autogluon_1h,multiclass,3405.16,0.8703614,,0.3239432,0.3239432
connect-4,autosklearn_1h,multiclass,3598.05,0.8354132999999999,,0.4256209999999999,0.4256209999999999
connect-4,autosklearn_4h,multiclass,14414.219999999998,0.8485725000000001,,0.3865717,0.3865717
credit-g,TPOT_1h,binary,3608.45,0.7549999999999999,0.7861428,,0.2138572
credit-g,TPOT_4h,binary,14405.860000000004,0.724,0.7714762000000001,,0.2285238
credit-g,autogluon_1h,binary,287.93,0.764,0.7928096000000001,,0.20719040000000005
credit-g,autosklearn_1h,binary,3605.2200000000003,0.754,0.7826191,,0.2173809
credit-g,autosklearn_4h,binary,14415.3,0.741,0.7824761,,0.2175239
dilbert,TPOT_1h,multiclass,3961.5,0.9418000000000001,,0.21739960000000003,0.21739960000000003
dilbert,TPOT_4h,multiclass,14721.75,0.9537000000000001,,0.15637843,0.15637843
dilbert,autogluon_1h,multiclass,3601.6200000000003,0.9933,,0.020048859999999998,0.020048859999999998
dilbert,autosklearn_1h,multiclass,3596.3600000000006,0.9742999999999998,,0.09683391999999999,0.09683391999999999
dilbert,autosklearn_4h,multiclass,14399.76,0.9830000000000002,,0.0632205,0.0632205
guiellermo,TPOT_1h,binary,4166.72,0.7705,0.8192241999999998,,0.18077580000000001
guiellermo,TPOT_4h,binary,15116.779999999999,0.7928499999999999,0.8535638000000001,,0.14643620000000002
guiellermo,autogluon_1h,binary,3638.85,0.8532500000000001,0.9240932,,0.07590680000000001
guiellermo,autosklearn_1h,binary,3597.0299999999997,0.7638499999999999,0.9012976,,0.09870240000000001
guiellermo,autosklearn_4h,binary,14397.179999999998,0.8431000000000001,0.9047561,,0.09524390000000002
higgs,TPOT_1h,binary,3908.59,0.7223048999999999,0.8015498000000001,,0.1984502
higgs,TPOT_4h,binary,14639.929999999998,0.7265476,0.8049587,,0.19504130000000003
higgs,autogluon_1h,binary,3618.25,0.7330850000000001,0.8151802,,0.1848198
higgs,autosklearn_1h,binary,3595.8600000000006,0.6891687,0.7933228,,0.20667719999999998
higgs,autosklearn_4h,binary,14398.220000000001,0.7289955,0.8094614,,0.1905386
jasmine,TPOT_1h,binary,3762.81,0.8240522,0.8845878,,0.1154122
jasmine,TPOT_4h,binary,14462.579999999998,0.8287357,0.8901020000000001,,0.10989799999999997
jasmine,autogluon_1h,binary,312.69,0.8213687000000001,0.8853897,,0.11461030000000003
jasmine,autosklearn_1h,binary,3597.9,0.8223765000000001,0.8839492999999999,,0.11605069999999999
jasmine,autosklearn_4h,binary,14398.560000000001,0.8230388,0.8828986999999999,,0.11710129999999999
jungle_chess_2pcs_raw_endgame_complete,TPOT_1h,multiclass,3708.9700000000003,0.9024517000000001,,0.19793750000000002,0.19793750000000002
jungle_chess_2pcs_raw_endgame_complete,TPOT_4h,multiclass,14651.329999999998,0.9395345,,0.1581756,0.1581756
jungle_chess_2pcs_raw_endgame_complete,autogluon_1h,multiclass,3042.55,0.9914991000000001,,0.02298819,0.02298819
jungle_chess_2pcs_raw_endgame_complete,autosklearn_1h,multiclass,3599.3600000000006,0.8941960000000002,,0.23399650000000002,0.23399650000000002
jungle_chess_2pcs_raw_endgame_complete,autosklearn_4h,multiclass,14415.77,0.8973196999999999,,0.22271799999999997,0.22271799999999997
kr-vs-kp,TPOT_1h,binary,3641.600000000001,0.996246,0.9996860999999999,,0.0003139000000000003
kr-vs-kp,TPOT_4h,binary,14497.85,0.9953076,0.9992794,,0.0007205999999999934
kr-vs-kp,autogluon_1h,binary,754.68,0.9953046000000001,0.9998075999999999,,0.00019240000000000367
kr-vs-kp,autosklearn_1h,binary,3598.0199999999995,0.9959307,0.9998351999999999,,0.0001647999999999983
kr-vs-kp,autosklearn_4h,binary,14401.85,0.9959315,0.9997211,,0.00027890000000002635
mfeat-factors,TPOT_1h,multiclass,3740.2200000000003,0.9704999999999998,,0.13812243000000002,0.13812243000000002
mfeat-factors,TPOT_4h,multiclass,14559.25,0.9724999999999999,,0.12357003000000003,0.12357003000000003
mfeat-factors,autogluon_1h,multiclass,3514.28,0.9804999999999998,,0.06870190000000001,0.06870190000000001
mfeat-factors,autosklearn_1h,multiclass,3601.3899999999994,0.9749999999999999,,0.09870102,0.09870102
mfeat-factors,autosklearn_4h,multiclass,14416.070000000002,0.976,,0.09344649000000001,0.09344649000000001
nomao,TPOT_1h,binary,3812.2399999999993,0.9684606000000002,0.9945738000000002,,0.005426199999999981
nomao,TPOT_4h,binary,14578.3,0.9720874,0.9956175,,0.004382499999999989
nomao,autogluon_1h,binary,2657.36,0.9814883,0.9979681619999999,,0.002031837999999986
nomao,autosklearn_1h,binary,3596.03,0.972987,0.9959486999999998,,0.004051300000000024
nomao,autosklearn_4h,binary,14397.809999999998,0.9729000000000001,0.9961053,,0.0038946999999999845
numerai28.6,TPOT_1h,binary,3826.7100000000005,0.5219788000000001,0.5247415,,0.4752585
numerai28.6,TPOT_4h,binary,14635.180000000002,0.5201307999999999,0.5261346,,0.47386540000000005
numerai28.6,autogluon_1h,binary,3620.59,0.5097176999999999,0.5149116,,0.4850884
numerai28.6,autosklearn_1h,binary,3596.9800000000005,0.5144312,0.5291056999999999,,0.47089430000000004
numerai28.6,autosklearn_4h,binary,14398.010000000004,0.5188643,0.530244,,0.469756
phoneme,TPOT_1h,binary,3654.96,0.918399,0.9689439,,0.031056099999999965
phoneme,TPOT_4h,binary,14453.580000000002,0.9209913000000001,0.9725328,,0.02746719999999998
phoneme,autogluon_1h,binary,579.75,0.9161757999999999,0.9713281,,0.028671900000000007
phoneme,autosklearn_1h,binary,3600.5700000000006,0.9048864,0.9626032999999999,,0.03739670000000005
phoneme,autosklearn_4h,binary,14405.15,0.9019271000000002,0.9623329,,0.03766710000000003
riccardo,TPOT_1h,binary,3997.4799999999996,0.9742000000000001,0.9920014000000001,,0.007998600000000012
riccardo,TPOT_4h,binary,15021.039999999999,0.9708,0.9957673999999999,,0.004232600000000008
riccardo,autogluon_1h,binary,3636.0200000000004,0.9978000000000001,0.9998797000000001,,0.00012030000000000652
riccardo,autosklearn_1h,binary,3597.5099999999998,0.95915,0.999756,,0.00024399999999997758
riccardo,autosklearn_4h,binary,14397.09,0.99605,0.9997547999999998,,0.00024520000000000097
segment,TPOT_1h,multiclass,3654.12,0.9844156,,0.05150256999999999,0.05150256999999999
segment,TPOT_4h,multiclass,14426.719999999998,0.9835497999999998,,0.054583759999999995,0.054583759999999995
segment,autogluon_1h,multiclass,987.22,0.9896103999999999,,0.0383348,0.0383348
segment,autosklearn_1h,multiclass,3605.7,0.9822511,,0.060475590999999995,0.060475590999999995
segment,autosklearn_4h,multiclass,14422.569999999998,0.9826840000000001,,0.062917622,0.062917622
sylvine,TPOT_1h,binary,3629.5700000000006,0.9560890000000001,0.9917751999999999,,0.008224800000000032
sylvine,TPOT_4h,binary,14435.259999999998,0.9652602,0.9953186,,0.00468139999999998
sylvine,autogluon_1h,binary,385.6,0.9560896999999999,0.9910135999999999,,0.008986400000000005
sylvine,autosklearn_1h,binary,3598.29,0.9556975999999999,0.9903981,,0.009601900000000019
sylvine,autosklearn_4h,binary,14400.190000000002,0.9535529,0.9908816999999999,,0.009118300000000013
vehicle,TPOT_1h,multiclass,3668.9900000000002,0.827409,,0.41371329999999995,0.41371329999999995
vehicle,TPOT_4h,multiclass,14449.26,0.8202942,,0.39658530000000003,0.39658530000000003
vehicle,autogluon_1h,multiclass,271.53,0.8581372,,0.30195299999999997,0.30195299999999997
vehicle,autosklearn_1h,multiclass,3617.3700000000003,0.8002100000000001,,0.39485960000000003,0.39485960000000003
vehicle,autosklearn_4h,multiclass,14470.490000000002,0.8155322999999999,,0.3791315,0.3791315
